image,manufacturer,ratings,reviews,product,model,price,shipping_cost,original_price
https://c1.neweggimages.com/productimage/nb300/1FT-000Y-00BZ1-01.png,ASUS,4.6,(248),ASUS TUF Gaming white GeForce RTX 5070 Ti OC Edition 16GB GDDR7 TUF-RTX5070TI-O16G-WHITE-GAMING PCI-Express 5.0 DLSS 4.0 Graphics Card,TUF-RTX5070TI-O16G-WHITE-GAMING,"$1,499.00 ",Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-500-638-01.jpg,ZOTAC,5,(5),ZOTAC Twin Edge OC GeForce RTX 5060 Ti 8GB GDDR7 PCI Express 5.0 x 8 ATX Graphics Card ZOTAC GAMING GeForce RTX 5060 Ti 8GB Twin Edge OC,ZT-B50610H-10A,$529.99 ,Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-137-879-01.png,MSI,5,(19),MSI LP GeForce RTX 3050 6GB GDDR6 PCI Express 4.0 x8 ATX Graphics Card RTX 3050 LP 6G OC,RTX 3050 LP 6G OC,$219.99 ,$9.99 Shipping,$299.35
https://c1.neweggimages.com/productimage/nb300/14-137-810-02.png,MSI,4.8,(26),MSI Ventus GeForce RTX 3050 8GB GDDR6 PCI Express 4.0 x8 ATX Graphics Card RTX 3050 VENTUS 2X XS 8G OC,RTX 3050 Ventus 2X XS 8G OC,$259.99 ,Free Shipping,$275.99
https://c1.neweggimages.com/productimage/nb300/14-932-804-13.jpg,GIGABYTE,4.4,(48),GIGABYTE WINDFORCE GeForce RTX 5060 8GB GDDR7 PCI Express 5.0 ATX Graphics Card GV-N5060WF2OC-8GD,GV-N5060WF2OC-8GD,$459.99 ,Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-137-938-04.jpg,MSI,4.7,(210),MSI Gaming GeForce RTX 5070 12GB GDDR7 PCI Express 5.0 ATX Graphics Card RTX 5070 12G GAMING TRIO OC,RTX 5070 12G GAMING TRIO OC,$849.99 ,Free Shipping,$917.99
https://c1.neweggimages.com/productimage/nb300/14-932-826-05.jpg,GIGABYTE,4.5,(113),GIGABYTE AORUS GeForce RTX 5060 Ti 16GB GDDR7 Graphics AORUS RTX 5060 TI AI BOX,GV-N506TIXEB-16GD,$899.99 ,Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-137-978-01.jpg,MSI,4.6,(166),MSI SHADOW GeForce RTX 5060 Ti 8GB GDDR7 PCI Express 5.0 Graphics Card RTX 5060 Ti 8G SHADOW 2X OC PLUS,RTX 5060 Ti 8G SHADOW 2X OC PLUS,$499.99 ,Free Shipping,$519.88
https://c1.neweggimages.com/productimage/nb300/14-932-817-06.png,GIGABYTE,5,(9),GIGABYTE Low Profile GeForce RTX 5050 8GB GDDR6 PCI Express 5.0 x8 Low Profile Graphics Card GV-N5050OC-8GL,GV-N5050OC-8GL,$299.99 ,Free Shipping,$317.99
https://c1.neweggimages.com/productimage/nb300/14-500-644-01.jpg,ZOTAC,5,(1),ZOTAC ARCTICSTORM AIO GeForce RTX 5090 32GB GDDR7 PCI Express 5.0 x16 ATX Graphics Card RTX 5090 ARCTICSTORM AIO,ZT-B50900K-30A,"$6,900.00 ",Free Shipping,
